epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.515,0.72901,3.86918,1.20127,0.02445,1,0.28107,0.24801,0.47482,4.08613,1.01191,0.0001668,0.0001668,0.0001668
2,258.143,0.6526,2.9024,1.10762,0.95875,0.11905,0.60983,0.53007,0.50775,3.59273,0.99149,0.000332445,0.000332445,0.000332445
3,386.295,0.65971,2.25428,1.09692,0.75337,0.71671,0.81299,0.71113,0.53413,2.87953,1.02449,0.000491264,0.000491264,0.000491264
4,512.879,0.62161,1.71119,1.04858,0.82898,0.87831,0.94562,0.85516,0.49187,2.30928,0.98937,0.000522974,0.000522974,0.000522974
5,637.669,0.57541,1.41819,1.02114,0.86102,0.9068,0.98401,0.89095,0.47882,1.73955,0.98182,0.000511965,0.000511965,0.000511965
6,762.649,0.57744,1.27331,1.01932,0.93003,0.98241,0.98727,0.88832,0.4877,1.59818,0.97648,0.000500956,0.000500956,0.000500956
7,898.883,0.57621,1.18078,1.00698,0.91989,0.92266,0.98839,0.89865,0.45916,1.77836,0.9479,0.000489947,0.000489947,0.000489947
8,1028.5,0.55131,1.09795,1.00341,0.94679,0.98016,0.98647,0.88268,0.47385,1.487,0.9803,0.000478938,0.000478938,0.000478938
9,1158.48,0.56086,1.08991,1.01026,0.93344,0.98059,0.98775,0.88815,0.46729,1.54059,0.96468,0.00046793,0.00046793,0.00046793
10,1288.04,0.57392,1.0516,1.01305,0.91459,0.975,0.98895,0.90219,0.44964,1.37686,0.96835,0.000456921,0.000456921,0.000456921
11,1418.24,0.54244,0.95639,0.99725,0.91336,0.98322,0.98953,0.88987,0.48704,1.40983,0.97174,0.000445912,0.000445912,0.000445912
12,1549.44,0.53464,0.97975,0.99611,0.93792,0.98515,0.98612,0.88588,0.49969,1.38564,0.98578,0.000434903,0.000434903,0.000434903
13,1681.03,0.51699,0.90154,0.97255,0.97051,0.98957,0.98764,0.90279,0.43676,1.23384,0.94504,0.000423894,0.000423894,0.000423894
14,1817.88,0.52701,0.86228,0.98038,0.95,0.98936,0.98208,0.89539,0.44127,1.12406,0.94673,0.000412886,0.000412886,0.000412886
15,1953.68,0.50469,0.84752,0.96653,0.98211,0.96887,0.98389,0.89627,0.45702,1.13956,0.95477,0.000401877,0.000401877,0.000401877
16,2095.16,0.51507,0.79975,0.9714,0.9841,0.99351,0.98907,0.90528,0.44074,0.96402,0.94652,0.000390868,0.000390868,0.000390868
17,2228.5,0.50859,0.79389,0.96403,0.97525,0.99351,0.98893,0.90995,0.43246,0.97476,0.93802,0.000379859,0.000379859,0.000379859
18,2372.58,0.51695,0.75724,0.96818,0.98018,0.99351,0.98816,0.90334,0.45327,0.9736,0.94475,0.00036885,0.00036885,0.00036885
19,2519.99,0.50143,0.7038,0.96571,0.97555,0.98673,0.9848,0.8991,0.44179,0.96804,0.93612,0.000357842,0.000357842,0.000357842
20,2657.43,0.50569,0.68139,0.96168,0.98048,0.99351,0.9851,0.90344,0.4282,0.88286,0.93281,0.000346833,0.000346833,0.000346833
21,2796.75,0.48551,0.69158,0.95383,0.98313,0.98528,0.98926,0.90981,0.41623,0.87095,0.92729,0.000335824,0.000335824,0.000335824
22,2936.16,0.51187,0.66666,0.9693,0.9817,0.99351,0.9894,0.91464,0.42016,0.81602,0.92981,0.000324815,0.000324815,0.000324815
23,3071.8,0.49773,0.66636,0.96708,0.98387,0.99351,0.98614,0.91013,0.41947,0.81074,0.92618,0.000313806,0.000313806,0.000313806
24,3212.75,0.50129,0.63735,0.95695,0.98525,0.99351,0.98667,0.89798,0.43437,0.79129,0.93873,0.000302798,0.000302798,0.000302798
25,3367.46,0.4669,0.62092,0.94315,0.97028,0.99068,0.9845,0.91121,0.40551,0.82332,0.91638,0.000291789,0.000291789,0.000291789
26,3508.06,0.48473,0.61314,0.94819,0.98112,0.99351,0.98249,0.89654,0.41648,0.76671,0.91923,0.00028078,0.00028078,0.00028078
27,3647.32,0.46867,0.58376,0.9404,0.98476,0.99351,0.98285,0.90088,0.40501,0.74443,0.91651,0.000269771,0.000269771,0.000269771
28,3786.51,0.453,0.57177,0.93695,0.98502,0.99351,0.98245,0.91166,0.40657,0.73534,0.91565,0.000258762,0.000258762,0.000258762
29,3924.82,0.48428,0.56982,0.94072,0.98482,0.99351,0.98238,0.89675,0.43967,0.72113,0.93769,0.000247754,0.000247754,0.000247754
30,4067.7,0.46428,0.54559,0.93392,0.98381,0.99351,0.98277,0.90361,0.40623,0.71138,0.91597,0.000236745,0.000236745,0.000236745
31,4204.69,0.46059,0.55439,0.94284,0.98457,0.98538,0.98307,0.90214,0.41695,0.6812,0.92361,0.000225736,0.000225736,0.000225736
32,4346.69,0.46143,0.53981,0.93917,0.98105,0.99351,0.98481,0.90577,0.40526,0.67264,0.92192,0.000214727,0.000214727,0.000214727
33,4484.22,0.45358,0.53644,0.92856,0.98514,0.99351,0.98382,0.91571,0.39882,0.64477,0.91402,0.000203718,0.000203718,0.000203718
34,4621.91,0.45176,0.51867,0.93125,0.98001,0.99351,0.98567,0.90692,0.40202,0.63867,0.91615,0.00019271,0.00019271,0.00019271
35,4766.12,0.43879,0.52198,0.93156,0.98234,0.99351,0.98745,0.91584,0.39525,0.66674,0.91449,0.000181701,0.000181701,0.000181701
36,4907.35,0.43463,0.49651,0.93017,0.98234,0.99351,0.9849,0.909,0.40026,0.63065,0.91294,0.000170692,0.000170692,0.000170692
37,5046.11,0.44732,0.48989,0.926,0.98041,0.99351,0.9828,0.90633,0.40783,0.63228,0.91491,0.000159683,0.000159683,0.000159683
38,5185.94,0.42709,0.48054,0.91724,0.98481,0.98854,0.98625,0.91365,0.4038,0.61268,0.91805,0.000148674,0.000148674,0.000148674
39,5325.5,0.45225,0.51604,0.94328,0.98138,0.99351,0.9833,0.91057,0.40436,0.60042,0.9132,0.000137666,0.000137666,0.000137666
